timestamp,latitude,longitude
137799,43.490807,-79.98848
137800,43.491001,-79.988129
137801,43.491188,-79.987778
137802,43.491375,-79.987434
137803,43.49157,-79.987083
137804,43.49176,-79.986725
137805,43.491947,-79.986374
137806,43.492134,-79.986015
137807,43.492329,-79.985672
137808,43.492516,-79.985321
137809,43.492699,-79.984978
137810,43.492882,-79.984634
137811,43.493065,-79.984291
137812,43.493244,-79.983963
137813,43.493423,-79.98362
137814,43.493595,-79.983276
137815,43.493759,-79.982933
137816,43.493908,-79.982582
137817,43.494049,-79.982231
137818,43.494175,-79.981857
137819,43.494301,-79.981491
137820,43.494408,-79.981117
137821,43.494503,-79.980736
137822,43.494591,-79.980362
137823,43.494667,-79.979965
137824,43.494732,-79.979584
137825,43.494797,-79.979195
137826,43.494843,-79.978798
137827,43.494888,-79.978409
137828,43.494923,-79.978004
137829,43.494961,-79.977608
137830,43.494999,-79.977211
137831,43.495037,-79.976807
137832,43.495068,-79.97641
137833,43.495098,-79.976006
137834,43.495132,-79.975609
137835,43.495167,-79.975204
137836,43.495209,-79.974815
137837,43.495239,-79.974434
137838,43.495281,-79.974037
137839,43.495312,-79.973656
137840,43.49535,-79.973274
137841,43.495384,-79.972878
137842,43.495415,-79.972488
137843,43.495453,-79.972099
137844,43.495487,-79.97171
137845,43.495525,-79.971321
137846,43.49556,-79.970917
137847,43.495602,-79.97052
137848,43.495632,-79.970123
137849,43.495667,-79.969719
137850,43.495705,-79.969322
137851,43.495743,-79.96891
137852,43.495777,-79.968521
137853,43.495811,-79.968117
137854,43.495857,-79.967728
137855,43.495903,-79.967354
137856,43.49596,-79.966965
137857,43.496025,-79.966591
137858,43.496098,-79.966225
137859,43.496185,-79.965858
137860,43.496277,-79.965485
137861,43.496372,-79.965126
137862,43.496487,-79.964783
137863,43.496609,-79.964424
137864,43.496735,-79.964081
137865,43.49688,-79.963745
137866,43.497028,-79.963409
137867,43.497185,-79.963089
137868,43.497349,-79.962776
137869,43.49752,-79.962471
137870,43.497692,-79.962173
137871,43.497879,-79.961914
137872,43.498062,-79.961639
137873,43.49826,-79.961365
137874,43.498455,-79.961121
137875,43.498669,-79.960876
137876,43.498875,-79.960648
137877,43.499088,-79.960426
137878,43.499306,-79.96022
137879,43.499523,-79.96003
137880,43.499744,-79.959846
137881,43.499969,-79.959671
137882,43.500198,-79.959488
137883,43.500423,-79.959305
137884,43.500652,-79.959129
137885,43.500889,-79.958961
137886,43.501122,-79.958778
137887,43.501362,-79.958595
137888,43.501598,-79.958405
137889,43.501835,-79.958221
137890,43.502087,-79.958038
137891,43.502338,-79.957855
137892,43.502583,-79.957672
137893,43.502838,-79.957481
137894,43.50309,-79.957291
137895,43.503349,-79.957085
137896,43.503609,-79.956894
137897,43.503876,-79.956688
137898,43.504135,-79.95649
137899,43.504398,-79.956291
137900,43.504669,-79.956078
137901,43.504936,-79.955879
137902,43.505207,-79.955673
137903,43.505478,-79.95546
137904,43.505741,-79.955246
137905,43.506008,-79.955048
137906,43.506275,-79.954834
137907,43.506554,-79.95462
137908,43.506828,-79.954399
137909,43.507114,-79.954178
137910,43.507408,-79.953957
137911,43.507694,-79.953743
137912,43.507984,-79.953522
137913,43.508278,-79.953293
137914,43.50856,-79.953079
137915,43.508839,-79.952866
137916,43.509121,-79.952637
137917,43.509396,-79.952408
137918,43.509659,-79.952171
137919,43.509926,-79.951927
137920,43.510181,-79.951691
137921,43.510426,-79.951447
137922,43.51067,-79.951195
137923,43.510914,-79.950943
137924,43.511143,-79.950684
137925,43.511368,-79.950417
137926,43.511593,-79.95015
137927,43.511806,-79.949883
137928,43.512032,-79.949608
137929,43.512241,-79.949318
137930,43.51244,-79.949043
137931,43.512642,-79.948746
137932,43.51284,-79.948448
137933,43.513027,-79.948151
137934,43.51321,-79.947845
137935,43.513401,-79.94754
137936,43.513584,-79.94725
137937,43.513763,-79.946953
